,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
105,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,nomic-embed-text,APPS,0.12333333333333334,0.12333333333333334,0.13333333333333333,0.13333333333333333,0.18333333333333332
106,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-large,APPS,0.06333333333333334,0.05333333333333334,0.08333333333333333,0.07333333333333333,0.043333333333333335
107,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-small,APPS,0.06333333333333334,0.05333333333333334,0.16333333333333333,0.06333333333333334,0.03333333333333333
108,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,1/2,APPS,0.37333333333333335,0.8166666666666667,0.38333333333333336,0.44333333333333336,0.5066666666666667
109,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,2/3,APPS,0.48333333333333334,0.7666666666666667,0.35333333333333333,0.44333333333333336,0.5466666666666666
110,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,3/4,APPS,0.43333333333333335,0.6266666666666667,1.0,0.30333333333333334,0.3933333333333333
111,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,APPS,0.8966666666666666,0.8466666666666667,0.8066666666666666,0.8266666666666667,0.8266666666666667
112,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,APPS,0.5166666666666667,0.5066666666666667,0.7566666666666667,0.5266666666666666,0.5166666666666667
113,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,APPS,0.5066666666666667,0.5166666666666667,0.7266666666666667,0.5266666666666666,0.5566666666666666
114,gemini-2.5-flash-lite,phi4-14b,internal state,1/2,APPS,0.21333333333333335,0.5366666666666666,1.0,0.22333333333333333,0.24333333333333335
115,gemini-2.5-flash-lite,phi4-14b,internal state,2/3,APPS,0.30333333333333334,0.24333333333333335,1.0,0.2733333333333333,0.6466666666666666
116,gemini-2.5-flash-lite,phi4-14b,internal state,3/4,APPS,0.2833333333333333,0.25333333333333335,1.0,0.23333333333333334,0.6166666666666667
117,gemini-2.5-flash-lite,phi4-14b,prompt embedding,nomic-embed-text,APPS,0.9766666666666667,0.44333333333333336,0.9566666666666667,0.9266666666666666,0.9866666666666667
118,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-large,APPS,0.5866666666666667,0.6966666666666667,0.6366666666666667,0.47333333333333333,0.8466666666666667
119,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-small,APPS,0.5866666666666667,0.7066666666666667,0.7166666666666667,0.48333333333333334,0.8566666666666667
